Unnamed: 0,year,total_non_current_assets,total_current_assets,total_assets,total_non_current_liabilities,total_current_liabilities,total_liabilities,retained_earnings,profit_before_tax,finance_cost,Current Ratio,Debt-to-Equity Ratio,Debt Ratio,Interest Coverage Ratio,ROA,ROE,Retained Earnings Ratio
0,2015,358469,137549,496018,149604,134381,283985,3259,31114,3316,1.0235747613129833,1.3393434040927592,0.5725296259409941,10.382991556091676,6.272756230620663,14.674130913584207,0.6570326076876243
1,2016,471212,127785,598997,178931,185154,364085,4480,38737,3691,0.6901552221394083,1.5498782522817054,0.6078244131439723,11.494987808182065,6.466977297048232,16.490004767742814,0.7479169344754648
2,2017,565526,146813,712339,210398,235315,445713,9273,40034,3849,0.6238998788857489,1.6716786809988524,0.6257034922979087,11.401143154065991,5.620076957740626,15.01503979356852,1.3017678380658646
3,2018,632562,183786,816348,205451,313852,519303,11840,49426,8052,0.5855817391636823,1.7482300661515933,0.6361294447956019,7.138350720317933,6.054525765972355,16.63922974633473,1.4503618554832007
4,2019,770353,232053,1002406,289692,317322,607014,12330,55227,16495,0.7312855711233385,1.5352207429588864,0.6055570297863341,4.348105486511064,5.509444277069371,13.967657413402396,1.2300405225028581
5,2020,907655,258260,1165915,291652,412916,704568,32972,53606,22027,0.6254540875141675,1.5271975324430418,0.6043047735040719,3.4336496118400146,4.597762272549886,11.619453469947784,2.8279934643606097
6,2021,948201,373011,1321212,244212,277568,521780,196059,55461,21189,1.3438544789024671,0.6526884087702268,0.3949252655894739,3.617443012884044,4.197736623645562,6.937550660969288,14.839329343057738
7,2022,1152646,347019,1499665,302019,308662,610681,247951,54142,14584,1.1242686174520997,0.6869426221394311,0.40721161059303246,4.712424574876577,3.6102729609612814,6.090323335403112,16.533759206222722
8,2023,1182135,425296,1607431,382807,395743,778550,295739,94046,19571,1.0746772526614494,0.9392783765100178,0.484344273564464,5.805375300189056,5.8507021452242745,11.346140157634208,18.398239177918057
9,2024,1285886,470100,1755986,432831,397367,830198,339787,104727,23118,1.1830373433123536,0.8967474194956081,0.47278167365799045,5.530106410589151,5.963999712981766,11.312201065470713,19.350211220362805
